feature,importance
day_of_week,0.3072616
trend_strength,0.2573172
momentum,0.20539837
rolling_std_7,0.18368077
lag_3,0.039057918
lag_7,0.0050643305
lag_1,0.0021119232
weight,5.3859134e-05
ma_7,3.1957046e-05
ma_14,2.2056105e-05
