feature,importance
momentum,0.40322158
lag_3,0.32955575
trend_strength,0.07682925
lag_1,0.06490569
day_of_week,0.060500823
lag_7,0.035064664
rolling_std_7,0.022263397
ma_7,0.0062687984
weight,0.0012257275
ma_14,0.00016425636
