feature,importance
lag_3,0.4251807
momentum,0.27661875
lag_1,0.08217228
day_of_week,0.0642803
trend_strength,0.052269254
lag_7,0.04239781
rolling_std_7,0.023273235
ma_7,0.017534297
weight,0.010044554
ma_14,0.0062287827
