feature,importance
trend_strength,0.26166186
momentum,0.2228251
day_of_week,0.2050708
rolling_std_7,0.1756068
lag_7,0.049012132
lag_3,0.030431736
ma_7,0.022125795
lag_1,0.019906586
ma_14,0.012265255
weight,0.0010938748
