feature,importance
day_of_week,0.27223623
rolling_std_7,0.15609418
trend_strength,0.15294261
momentum,0.13459057
ma_7,0.058376595
ma_14,0.057765365
lag_1,0.056179587
lag_7,0.052758228
lag_3,0.046796296
weight,0.012260384
